InvNo,Date,Vendor,Brand,InvoiceAmount,InvoicePaid,PaidDate,DaysToPay,DaysXAmount,PureX
9398a,1/2/2025,"Little Tree- The Flower Bowl","The Flower Bowl",1725.00,1669.50,1/10/2025,8.00,13800.00,
9399a,1/2/2025,"Little Tree- Arbor Kitchen LLC","ARBORS WELLNESS/HERBANA",11000.00,11000.00,1/21/2025,19.00,209000.00,
9400a,1/2/2025,"Little Tree- Bloomery Cannabis New Buffalo","BLOOMERY",2800.00,2800.00,2/27/2025,56.00,156800.00,
9407a,1/3/2025,"Little Tree- Dispo Romeo","Dispo",3550.00,3550.00,2/28/2025,56.00,198800.00,
9408a,1/3/2025,"Little Tree- Dispo Hazel Park","Dispo",3200.00,3200.00,6/2/2025,150.00,480000.00,
9409a,1/3/2025,"Little Tree- Dispo South Hashish Boyz","Dispo",1925.00,1925.00,2/14/2025,42.00,80850.00,
9421a,1/7/2025,"Little Tree- All Star Processing","JARS/ALLSTAR",61159.05,61159.05,2/18/2025,42.00,2568680.10,
9427a,1/7/2025,"Little Tree- The Flower Bowl Inkster","The Flower Bowl",1404.25,854.25,1/27/2025,20.00,28085.00,
9440a,1/8/2025,"Gelato- Nirvana Processing","Nirvana",16950.00,16950.00,4/7/2025,89.00,1508550.00,YES
9461a,1/10/2025,"Little Tree- Apothecare Jackson","APOTHECARE",3993.00,3993.00,2/3/2025,24.00,95832.00,
9479a,1/10/2025,"Little Tree- Apothecare Jackson","APOTHECARE",1467.60,1467.60,5/19/2025,129.00,189320.40,
9489a,1/10/2025,"Little Tree- Weisburger Ventures","Levels",34099.55,34099.55,1/24/2025,14.00,477393.70,
9500a,1/14/2025,"Little Tree- Frootz","GRAMAZON/WILDFIRE",1174.44,1174.44,4/2/2025,78.00,91606.32,
9507a,1/15/2025,"Little Tree- Skymint","SKYMINT",27267.79,27267.79,2/13/2025,29.00,790765.91,
9503a,1/16/2025,"Little Tree- Gramazon","GRAMAZON/WILDFIRE",53062.15,53062.15,4/4/2025,78.00,4138847.70,
9504a,1/16/2025,"Gelato- The Exhibit","Exhibit Cannabis",2000.00,2000.00,2/25/2025,40.00,80000.00,YES
9522a,1/16/2025,"Little Tree- Elevated Exotics Escabana","Elevated Exotics",6150.00,0.00,,513.00,3154950.00,
9524a,1/16/2025,"Little Tree- Pure Cannabis Outlet","Pure",30000.00,30000.00,1/24/2025,8.00,240000.00,
9523a,1/17/2025,"Little Tree- Michigan Green Magic","Vibe",5200.00,5200.00,6/11/2025,145.00,754000.00,
9525a,1/17/2025,"Little Tree- The Outpost Marquette","The Outpost",5375.00,5375.00,1/23/2025,6.00,32250.00,
9566a,1/22/2025,"Little Tree- Timber New Buffalo","Stash Ventures LLC",3000.00,3000.00,2/4/2025,13.00,39000.00,
9567a,1/22/2025,"Little Tree- Pleasantrees Processing","Pleasantrees",3350.00,3350.00,12/15/2025,327.00,1095450.00,
9568a,1/22/2025,"Little Tree- Pleasantrees Lincoln Park","Pleasantrees",1975.00,1950.00,12/15/2025,327.00,645825.00,
9569a,1/23/2025,"Little Tree- Refinery Kalamazoo","The Outpost",875.00,875.00,3/3/2025,39.00,34125.00,
9586a,1/24/2025,"Little Tree- Quest Whitmore Lake","HERBOLOGY",2975.00,2975.00,2/21/2025,28.00,83300.00,
9588a,1/27/2025,"Gelato- Cannavibes Emporium","Cannavibes Emporium",2800.00,2800.00,1/29/2025,2.00,5600.00,YES
9638a,1/30/2025,"Little Tree- The Flower Bowl","The Flower Bowl",1494.00,1494.00,2/20/2025,21.00,31374.00,
9668a,1/31/2025,"Little Tree- Timber Muskegon","Stash Ventures LLC",398.75,398.75,2/13/2025,13.00,5183.75,
